WardName,Deval Patrick,Tom Steyer,Pete Buttigieg,Amy Klobuchar,Julian Castro,John K. Delaney,Marianne Williamson,Bernie Sanders,Andrew Yang,Elizabeth Warren,Tulsi Gabbard,Michael R. Bloomberg,Joseph Biden,Cory Booker,Michael Bennet
St Paul W-06,0.04,0.02,0.38,2.83,0,0.11,0.04,45.76,1.11,16.13,0.46,6.24,26.69,0.07,0.11
Minneapolis W-01,0.04,0.06,0.49,1.9,0.02,0.04,0.06,46.93,0.17,27.37,0.25,3.44,19.2,0,0.04
Minneapolis W-02,0,0.01,0.7,1.96,0,0,0.01,49.92,0.4,25.11,0.33,3.08,18.47,0,0
St Paul W-07,0,0.04,0.33,2.46,0.04,0.02,0.02,44.43,0.76,16.31,0.41,6.32,28.7,0.04,0.14
Minneapolis W-03,0,0.06,1.02,2.6,0.04,0,0,47.74,0.26,22.23,0.19,4.12,21.65,0.04,0.04
Minneapolis W-04,0.04,0.04,1.09,2.13,0.04,0.04,0.08,43.39,0.17,19.21,0.25,5.02,28.12,0.13,0.25
Minneapolis W-05,0,0.07,0.61,2.03,0,0.12,0,46.11,0.49,16.28,0.27,5.71,28,0.15,0.15
Minneapolis W-06,0,0.06,0.87,2.48,0.08,0.16,0.06,57.31,0.22,15.97,0.24,3.59,18.81,0.06,0.1
Minneapolis W-07,0.01,0.05,1.31,4.3,0,0.01,0.05,34.49,0.14,21.96,0.22,7.13,30.28,0.03,0.01
Minneapolis W-08,0,0.04,0.54,2.01,0.03,0.04,0.01,42.9,0.28,29.64,0.22,3.02,21.22,0.03,0.02
Minneapolis W-09,0,0.02,0.48,1.19,0.02,0.1,0.02,56.81,0.11,25.5,0.26,2.36,13.11,0.02,0.03
Minneapolis W-10,0,0.02,0.88,1.44,0,0.03,0.01,53.92,0.25,24.77,0.37,2.64,15.67,0.01,0
Minneapolis W-11,0.03,0.02,0.93,2.79,0.01,0,0.04,28.67,0.14,27.65,0.13,5.1,34.47,0,0.03
Minneapolis W-12,0.01,0.04,0.59,2.72,0.01,0.01,0.01,35.03,0.11,30.8,0.19,3.94,26.42,0.03,0.07
Minneapolis W-13,0,0.01,0.87,3.94,0.01,0.01,0.03,21.96,0.09,25.18,0.21,6.6,41.07,0.03,0
St Paul W-01,0,0.04,0.63,2.31,0.01,0.04,0.06,41.55,0.27,23.89,0.25,4.83,25.96,0.11,0.06
St Paul W-02,0.03,0.04,0.88,3.25,0,0.04,0.03,37.6,0.19,24.35,0.28,5.12,28.16,0,0.03
St Paul W-03,0,0.08,0.95,4.7,0.01,0.02,0.01,26.15,0.14,26.16,0.19,6.15,35.42,0.02,0
St Paul W-04,0.01,0.08,0.76,3.26,0,0,0.01,38,0.23,28.42,0.26,4.33,24.59,0.02,0.03
St Paul W-05,0.07,0.1,0.97,4.4,0.02,0.08,0.07,39.1,0.72,22.98,0.26,5.07,25.98,0.1,0.1
