WardName,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Michael R. Bloomberg,Joseph Biden
St Paul W-06,2.83,45.76,16.13,6.24,26.69
Minneapolis W-01,1.9,46.93,27.37,3.44,19.2
Minneapolis W-02,1.96,49.92,25.11,3.08,18.47
St Paul W-07,2.46,44.43,16.31,6.32,28.7
Minneapolis W-03,2.6,47.74,22.23,4.12,21.65
Minneapolis W-04,2.13,43.39,19.21,5.02,28.12
Minneapolis W-05,2.03,46.11,16.28,5.71,28
Minneapolis W-06,2.48,57.31,15.97,3.59,18.81
Minneapolis W-07,4.3,34.49,21.96,7.13,30.28
Minneapolis W-08,2.01,42.9,29.64,3.02,21.22
Minneapolis W-09,1.19,56.81,25.5,2.36,13.11
Minneapolis W-10,1.44,53.92,24.77,2.64,15.67
Minneapolis W-11,2.79,28.67,27.65,5.1,34.47
Minneapolis W-12,2.72,35.03,30.8,3.94,26.42
Minneapolis W-13,3.94,21.96,25.18,6.6,41.07
St Paul W-01,2.31,41.55,23.89,4.83,25.96
St Paul W-02,3.25,37.6,24.35,5.12,28.16
St Paul W-03,4.7,26.15,26.16,6.15,35.42
St Paul W-04,3.26,38,28.42,4.33,24.59
St Paul W-05,4.4,39.1,22.98,5.07,25.98
